トピックナンバー,単語,値
10,展望,0.024968983
10,ゲーミフィケーション,0.023418114
10,向ける,0.018765509
10,ネットワーク,0.012562035
11,行動,0.239668128
11,デジタルゲーム,0.145742016
11,プレイヤ,0.062773951
11,利用,0.058077646
11,保護,0.054946775
11,児童,0.05338134
11,参加,0.042423294
11,障害,0.034596118
11,遊戯,0.025203507
11,時間,0.023638071
12,提案,0.122452179
12,考察,0.083254939
12,制作,0.072279712
12,手法,0.066008153
12,ゲーム,0.053465036
12,システム,0.047193478
12,対戦,0.047193478
12,サービス,0.042489809
12,ネットワーク,0.033082471
12,コンピュータゲーム,0.025243023
13,研究,0.303422371
13,一般,0.129521425
13,コミュニケーション,0.112826934
13,回,0.09195882
13,ヒューマン,0.048831386
13,インタフェース,0.046048971
13,人工,0.02935448
13,システム,0.023789649
13,視覚,0.021007234
13,日本,0.015442404
14,ゲーム,0.330865416
14,編集,0.090654821
14,考察,0.079137874
14,後記,0.067620928
14,活動,0.038005923
14,データ,0.034715367
14,現状,0.031424811
14,経営,0.029779533
14,適用,0.023198421
14,社会,0.021553142
15,分析,0.284028728
15,構造,0.10619015
15,提案,0.083960328
15,応用,0.083960328
15,物語,0.056600547
15,要素,0.042920657
15,データ,0.034370725
15,用いる,0.029240766
15,時代,0.022400821
15,科学,0.017270862
16,大会,0.21969697
16,報告,0.181176168
16,年度,0.141371341
16,全国,0.100282486
16,学会,0.088726246
16,受賞,0.075885978
16,回,0.054057524
16,論文,0.042501284
16,参加,0.006548536
16,ゲーミフィケーション,0.006548536
17,ゲーム,0.298947069
17,特集,0.1196642
17,アニメ,0.068440524
17,音,0.067017644
17,音楽,0.065594764
17,映画,0.052788845
17,ユーザー,0.038560046
17,現実,0.037137166
17,検討,0.035714286
17,用いる,0.020062607
18,子ども,0.201606086
18,メディア,0.141025641
18,調査,0.141025641
18,生活,0.105804452
18,テレビ,0.080445196
18,実態,0.062130178
18,テレビゲーム,0.06072133
18,遊び,0.035362074
18,意識,0.033953226
18,比較,0.015638208
19,ゲーム,0.211375981
19,開発,0.173657212
19,利用,0.166113458
19,シリアス,0.140464695
19,事例,0.027308389
19,ソフト,0.025799638
19,効果,0.024290887
19,運動,0.024290887
19,活動,0.016747133
19,コミュニケーション,0.015238383
20,学習,0.528078385
20,強化,0.090816028
20,環境,0.082041533
20,情報,0.027932144
20,特徴,0.02208248
20,論文,0.014770401
20,理論,0.014770401
20,構築,0.014770401
20,ビジネス,0.013307985
20,プログラム,0.013307985
21,教育,0.287427517
21,実践,0.184633632
21,授業,0.130600949
21,ゲーミフィケーション,0.117422246
21,教材,0.075250395
21,学校,0.030442804
21,対話,0.029124934
21,効果,0.01331049
21,題材,0.01067475
21,AI,0.01067475
22,世界,0.221229225
22,ゲーム,0.133427407
22,仮想,0.084822828
22,年,0.058168705
22,見る,0.047193478
22,対戦,0.040921919
22,教育,0.039354029
22,未来,0.034650361
22,ソフト,0.022107244
22,有効,0.020539354
23,評価,0.421015713
23,関数,0.119388328
23,局面,0.078703704
23,用いる,0.078703704
23,基づく,0.059062851
23,プレイヤー,0.03801908
23,構築,0.016975309
23,適用,0.014169473
23,一般,0.011363636
23,インターネット,0.011363636
24,技術,0.25583134
24,知能,0.062948565
24,ク,0.062948565
24,応用,0.059958134
24,ション,0.055472488
24,人,0.053977273
24,エージェント,0.052482057
24,分野,0.036034689
24,人工,0.034539474
24,可能,0.025568182
25,用いる,0.235956744
25,検討,0.153349354
25,効果,0.150345449
25,ネットワーク,0.078251727
25,考察,0.051216582
25,テレビゲーム,0.051216582
25,作成,0.034695104
25,認識,0.024181436
25,変化,0.021177531
25,手法,0.018173626
26,文化,0.196759987
26,コンテンツ,0.193614344
26,ゲーム,0.094526581
26,デジタル,0.063070148
26,消費,0.058351683
26,特集,0.034759358
26,参加,0.031613715
26,書評,0.031613715
26,向ける,0.028468072
26,中心,0.02689525
27,映像,0.25684185
27,表現,0.218091548
27,フォーラム,0.126059579
27,芸術科学,0.104262533
27,画像,0.076410753
27,ポスター,0.063090337
27,立体,0.043715185
27,処理,0.025550981
27,新しい,0.008597723
27,次元,0.004964883
28,特集,0.293061555
28,ファミコン,0.14187365
28,子ども,0.10137689
28,遊び,0.091927646
28,子,0.064929806
28,時代,0.055480562
28,考える,0.044681425
28,任天堂,0.037931965
28,方法,0.013633909
28,関係,0.013633909
29,情報,0.209827145
29,ゲーム,0.094590269
29,動向,0.072183099
29,課題,0.060979513
29,特集,0.049775928
29,プロジェクト,0.030569782
29,教育,0.030569782
29,活用,0.030569782
29,展開,0.027368758
29,AI,0.025768246
30,オンライン,0.271557072
30,ゲーム,0.225031017
30,ネット,0.080800248
30,依存,0.074596774
30,インターネット,0.045130273
30,ビジネス,0.035825062
30,開発,0.02807072
30,携帯,0.024968983
30,ユーザ,0.021867246
30,世界,0.015663772
31,テレビゲーム,0.410611128
31,家庭,0.098966251
31,機能,0.064001216
31,進化,0.045758589
31,関連,0.038157495
31,プログラム,0.036637276
31,次元,0.032076619
31,使用,0.018394649
31,大学,0.01687443
31,基礎,0.013833992
32,ゲーム,0.447333554
32,情報,0.107817158
32,空間,0.039913879
32,制作,0.028320636
32,モバイル,0.025008281
32,コンピュータ,0.018383571
32,事例,0.015071216
32,導入,0.015071216
32,学生,0.013415038
32,調査,0.013415038
33,OF,0.212068035
33,THE,0.171571274
33,in,0.113525918
33,AND,0.110826134
33,A,0.104076674
33,GAME,0.073029158
33,For,0.06762959
33,GO,0.028482721
33,試み,0.009584233
33,特集,0.005534557
34,影響,0.299373041
34,及ぼす,0.116984896
34,与える,0.111285266
34,テレビゲーム,0.077087489
34,心理,0.068538045
34,認知,0.042889712
34,過程,0.03861499
34,体験,0.022941009
34,実験,0.017241379
34,学習,0.015816472
35,研究,0.366917947
35,関係,0.134966657
35,発表,0.087126703
35,人間,0.049434619
35,発達,0.047984923
35,基づく,0.029138881
35,科学,0.02623949
35,適用,0.024789794
35,年,0.023340099
35,情報,0.016091621
36,開発,0.236336032
36,事例,0.148616734
36,特集,0.145242915
36,ツール,0.054149798
36,比較,0.047402159
36,遊戯,0.030533063
36,構築,0.027159244
36,関連,0.025472335
36,デジタル,0.023785425
36,シリアス,0.020411606
37,システム,0.431156222
37,支援,0.303177405
37,開発,0.017799353
37,運動,0.017799353
37,検討,0.016328332
37,問題,0.014857311
37,エージェント,0.01338629
37,ゲーミフィケーション,0.01338629
37,処理,0.011915269
37,社会,0.010444248
38,ゲーム,0.437119367
38,オンライン,0.088459196
38,可能,0.088459196
38,体験,0.048873325
38,ゲーミフィケーション,0.030602923
38,提案,0.024512789
38,囲碁,0.021467722
38,関連,0.019945189
38,新しい,0.013855055
38,課題,0.010809988
39,ゲーム,0.412236552
39,特集,0.173167663
39,視点,0.075652721
39,中心,0.03633218
39,応用,0.030040893
39,向ける,0.02689525
39,事例,0.023749607
39,問題,0.020603964
39,展開,0.01745832
39,システム,0.014312677
40,ビデオゲーム,0.367871611
40,可能,0.082736055
40,現在,0.050015581
40,ソフトウェア,0.040666874
40,導入,0.032876285
40,向上,0.031318168
40,作成,0.028201932
40,教育,0.025085696
40,ゲーム,0.023527579
40,環境,0.021969461
41,ゲーム,0.564743786
41,業界,0.066124578
41,特性,0.047714023
41,特集,0.041577171
41,学生,0.024700828
41,展開,0.023166616
41,歴史,0.018563977
41,ソフト,0.017029764
41,人,0.012427125
41,検証,0.010892912
42,シミュレーション,0.387686458
42,ゲーミング,0.239982451
42,日本,0.114214683
42,学会,0.095203276
42,論文,0.026469728
42,教材,0.008920737
42,現実,0.007458321
42,現在,0.007458321
42,コンピュータ,0.005995905
42,動向,0.005995905
43,開発,0.169044846
43,コンピュータゲーム,0.116627839
43,教育,0.107891672
43,研究,0.051106581
43,一般,0.045282469
43,評価,0.045282469
43,認知,0.042370414
43,システム,0.032178218
43,地域,0.032178218
43,試み,0.029266162
44,社会,0.30412531
44,問題,0.138182382
44,年,0.094758065
44,考察,0.07924938
44,解決,0.043579404
44,用いる,0.02807072
44,体験,0.021867246
44,展望,0.018765509
44,参加,0.01721464
44,プロジェクト,0.015663772
45,研究,0.15456636
45,学習,0.131570302
45,開発,0.090505913
45,活動,0.072437582
45,高齢,0.06586728
45,目的,0.059296978
45,向上,0.056011827
45,ゲーミフィケーション,0.0510841
45,対象,0.033015769
45,教育,0.024802891
