dcterms:date,dcterms:type,dcterms:creator,dcterms:title @en,dcterms:issued,dcterms:isPartOf,dcterms:publisher,schema:volumeNumber,schema:issueNumber,schema:pageStart,schema:pageEnd,dcterms:language,dcterms:identifier,schema:issn,schema:url,dcterms:title,schema:keywords
2021-10-29 01:57:37.466478,Article,"一ノ瀬 智浩,畑 秀明,松本 健一",Development of Gamification Environment for Self-Admitted Technical Debt Removal,2016,情報処理学会関西支部支部大会講演論文集,[情報処理学会関西支部],,,,,JPN,"naid: 40020965289,ncid: AA12496678,ndlid: 027665709",1884-197X,http://id.ndl.go.jp/bib/027665709,ソースコード上の技術的負債除去を活性化させるゲーミフィケーション環境の開発,
2021-10-29 02:00:49.926489,Article,"安部 貫太,伊藤 淳子,宗森 純","Analysis of Communication in Video Projection Type Board Game ""ABENO-MIX""",2018,情報処理学会関西支部支部大会講演論文集,[情報処理学会関西支部],,,,,JPN,"naid: 40021694023,ncid: AA12496678,ndlid: 029288035",1884-197X,http://id.ndl.go.jp/bib/029288035,"映像投影型ボードゲーム""アベノミックス""におけるコミュニケーションの分析",
2021-10-29 01:40:54.419219,Article,"山下 利之,Eibo Ahmad,栗山 裕",Analyses of computer games by Analytic Hierarchy Process,2007,人とシステム,[日本人間工学会],10,1,17,22,JPN,"naid: 40015564462,ncid: AA11149362,ndlid: 8880904",1340637X,http://id.ndl.go.jp/bib/8880904,AHPによるコンピュータゲームの分析,"computer games,AHP,human computer interaction,human interface"
2021-10-29 01:23:33.770118,Article,"玉宮 義之,開 一夫",Video game exposure and recognition of facial expressions : event-related potential data,2013,JCSS Japanese Congnitive Science Society,[日本認知科学会],,,355,357,JPN,"naid: 40020202280,ndlid: 025793956",,http://id.ndl.go.jp/bib/025793956,子どものテレビゲーム遊び経験と情動表情認知の関係 : 事象関連電位を指標として,"Video game,facial expressions"
2021-10-29 01:31:50.193685,Article,"Liu Tao,齋藤 洋典,大井 京",The presence of a friend reduces a performer's prefrontal activation : A near-infrared spectroscopy study using a driving video game,2013,JCSS Japanese Congnitive Science Society,[日本認知科学会],,,99,107,ENG,"naid: 40020199022,ndlid: 025788584",,http://id.ndl.go.jp/bib/025788584,友人の存在による遂行者の前頭前野での賦活の低減 : ドライビングビデオゲームを用いた近赤外分光法による研究,
2021-10-29 01:31:09.157343,Article,榊 祐一,,2008-08,層 : 映像と表現,[北海道大学大学院文学研究院映像・現代文化論研究室],2,,59,86,JPN,"naid: 40016785407,ncid: AA12469121,ndlid: 10396756",,http://id.ndl.go.jp/bib/10396756,ビデオゲーム/物語/テレプレゼンス (特集 映画の後に来るべきもの),
2021-10-29 01:31:21.670337,Article,長沼 光彦,,2018-03-30,言語文化研究 = Studies in Language and Culture,「言語文化研究」刊行会,,6,20,42,JPN,naid: 120006537644,2186-0688,http://id.nii.ac.jp/1057/00000261/,ゲーム的コミュニケーション ―ネットゲームはなぜ批判されるのか　「スプラトゥーン2」,ゲーム｜コミュニケーション｜ビデオゲーム｜スプラトゥーン｜ネットゲーム
2021-10-29 01:50:54.254859,Article,"梶浦 久江,中山 伸一",Influences of effect sounds on the block-breaking game viewer by flow experience,2012,図書館情報メディア研究,「図書館情報メディア研究」編集委員会,10,1,1,10,JPN,"naid: 40019462270,ncid: AA11876855,ndlid: 024035875,doi: 10.15068/00131164",1348-7884,"http://id.ndl.go.jp/bib/024035875,http://hdl.handle.net/2241/117668,https://tsukuba.repo.nii.ac.jp/records/27729,http://dx.doi.org/10.15068/00131164",ブロック崩しゲームを見ている視聴者のフロー体験に与える効果音の影響,
2021-10-29 01:21:45.801490,Article,瀬谷 安弘,,2020-04,鵬友,『鵬友』発行委員会,46,1,55,78,JPN,"naid: 40022325838,ncid: AA11645965,ndlid: 030596388",,http://id.ndl.go.jp/bib/030596388,ビデオゲームによる知覚認知機能訓練の可能性,
2021-10-29 01:30:52.150476,Article,小孫 康平,Consciousness of teaching materials in video game literacy education and teaching practice of video games as media culture,2019,AI時代の教育論文誌,AI時代の教育学会,1,0,19,24,JPN,"naid: 130008088719,doi: 10.50948/esae.1.0_19",,https://doi.org/10.50948/esae.1.0_19,ビデオゲーム・リテラシー教育の教材意識とビデオゲームのメディア文化の授業実践,"ビデオゲーム・リテラシー,教材,ビデオゲーム,メディア文化,授業実践"
2021-10-29 01:25:53.329948,Article,"鄭 姝,松尾 由美,田島 祥,堀内 由樹子,寺本 水羽,坂元 章",Parental mediation for digital game play: Relationship with the adaptation of children,2020,AI時代の教育論文誌,AI時代の教育学会,2,0,37,42,JPN,"naid: 130008087714,doi: 10.50948/esae.2.0_37",,https://doi.org/10.50948/esae.2.0_37,デジタルゲーム利用に対する保護者の介入が子どもの適応に与える影響,"デジタルゲーム,保護者の介入行動,子どもの適応,縦断調査"
2021-10-29 01:39:03.291338,Article,有馬 知子,,2021-03,季刊ビィ = Be!,ASK (アルコール薬物問題全国市民協会) ; 1997-,,142,35,39,JPN,"naid: 40022515026,ncid: AA11605279,ndlid: 031340994",1342-9450,http://id.ndl.go.jp/bib/031340994,ASKの予防教育講座を受けてみた! オンラインゲームにはまる子どもとどう向き合えばいい?,
2021-10-29 01:27:31.673616,Article,,,2015-12-08,Newsweek = ニューズウィーク,CCCメディアハウス,30,47,56,58,JPN,"naid: 40020659637,ncid: AN10039382,ndlid: 026947232",0912-2001,http://id.ndl.go.jp/bib/026947232,Life/style GAMES ビデオゲームは現代最高の芸術だ : テクノロジー,
2021-10-29 01:40:32.917488,Article,,,2017-07-18,Newsweek = ニューズウィーク,CCCメディアハウス,32,27,,,JPN,"naid: 40021244720,ncid: AN10039382,ndlid: 028335965",0912-2001,http://id.ndl.go.jp/bib/028335965,コンピューターゲームがイスラム憎悪を拡散? : 宗教,
2021-10-29 01:31:16.396487,Article,,,2019-03-05,Newsweek = ニューズウィーク,CCCメディアハウス,34,9,56,57,JPN,"naid: 40021817418,ncid: AN10039382,ndlid: 029529621",0912-2001,http://id.ndl.go.jp/bib/029529621,Life/style GAME 往年のビデオゲームは保存すべき文化遺産 : 文化,
2021-10-29 01:41:33.328681,Article,"香取 真理,香取 薫",Research on the Effects of the Interactive Multimedia CD-ROM Material for Beginners of Learning English,1997,コンピュータ＆エデュケーション,CIEC,3,0,88,94,JPN,"naid: 130005057614,ncid: AA11252984,ndlid: 5310532,doi: 10.14949/konpyutariyoukyouiku.3.88",2186-2168,"http://id.ndl.go.jp/bib/5310532,https://doi.org/10.14949/konpyutariyoukyouiku.3.88",初級英語学習者向けインタラクティブ・マルチメディアCD-ROM教材の効果に関する調査,"CD-ROMソフトウエア,インタラクションパターン,マルチメディア,エデュテイメント"
2021-10-29 01:41:32.062732,Article,"布施 雅彦,大河原 麗偉,湊 淳,小澤 哲",Effects of the prior−to−visit virtual experience using the e−Learning technology on enhancement of learning motivation:―Development of VR Museum Web Contents―,2005,コンピュータ＆エデュケーション,CIEC,18,0,84,89,JPN,"naid: 130004709730,ncid: AA11252984,ndlid: 7795172,doi: 10.14949/konpyutariyoukyouiku.18.84",2186-2168,"http://id.ndl.go.jp/bib/7795172,https://doi.org/10.14949/konpyutariyoukyouiku.18.84",eラーニングを利用した事前疑似体験学習が学習意欲に与える効果:―VR資料館コンテンツ開発―,"Web Baesed Training,e-Learning,マルチメディア,バーチャルリアリティー"
2021-10-29 01:41:36.288996,Article,新井 正一,,2005,コンピュータ＆エデュケーション,CIEC,18,0,52,56,JPN,"naid: 130004709726,doi: 10.14949/konpyutariyoukyouiku.18.52",2186-2168,https://doi.org/10.14949/konpyutariyoukyouiku.18.52,携帯電話を利用したラリーゲーム『Real Walk』の開発と活用,"携帯電話,ゲーム,学習教材,ラリー,Web教材,プログラム学習"
2021-10-29 01:41:36.870690,Article,新井 正一,,2005,コンピュータ & エデュケーション,CIEC,18,,52,56,JPN,"naid: 40007117056,ncid: AA11252984,ndlid: 7795118",,http://id.ndl.go.jp/bib/7795118,活用事例 携帯電話を利用したラリーゲーム『Real Walk』の開発と活用,"学習教材,Web教材,プログラム学習"
2021-10-29 01:41:30.430243,Article,中野 健秀,Learning English using handheld game machines: research on the potential of the Nintendo DS,2008,コンピュータ＆エデュケーション,CIEC,24,0,44,47,JPN,"naid: 130004715688,ncid: AA11252984,ndlid: 9524674,doi: 10.14949/konpyutariyoukyouiku.24.44",2186-2168,"http://id.ndl.go.jp/bib/9524674,https://doi.org/10.14949/konpyutariyoukyouiku.24.44",携帯型ゲーム機を用いての英語学習:―ニンテンドーDSの実用性を探る―,"携帯型ゲーム機,ニンテンドーDS,メーリングリスト,ノンパラメトリック検定"
2021-10-29 01:41:34.818953,Article,"塩田 真吾,山内 崇裕,永田 勝也",Examples: Attempt of environmental education using serious game,2009,コンピュータ&エデュケーション,CIEC,27,,65,68,JPN,"naid: 40016912742,ncid: AA11252984,ndlid: 10509185",,http://id.ndl.go.jp/bib/10509185,活用事例 シリアスゲームを用いた環境教育の試み,"シリアスゲーム,環境教育"
2021-10-29 01:41:35.363420,Article,"塩田 真吾,山内 崇裕,永田 勝也,和田 翔太",,2009,コンピュータ＆エデュケーション,CIEC,27,0,65,68,JPN,"naid: 130004709807,doi: 10.14949/konpyutariyoukyouiku.27.65",2186-2168,https://doi.org/10.14949/konpyutariyoukyouiku.27.65,シリアスゲームを用いた環境教育の試み,"シリアスゲーム,環境教育"
2021-10-29 01:41:38.246030,Article,"田邉 鉄,清原 文代",Chinese e-Learning materials that develops learning each other,2009,コンピュータ＆エデュケーション,CIEC,27,0,24,27,JPN,"naid: 130004709804,ncid: AA11252984,ndlid: 10509055,doi: 10.14949/konpyutariyoukyouiku.27.24",2186-2168,"http://id.ndl.go.jp/bib/10509055,https://doi.org/10.14949/konpyutariyoukyouiku.27.24",「学び合い」を促すe-Learning教材:―対戦ゲーム式中国語語彙学習システムの開発と検証―,"中国語教育,ゲーム,ブレンデッド・ラーニング"
2021-10-29 01:22:21.937387,Article,"塩田 真吾,阿部 学,石川 清香,藤川 大祐,福永 憲一",Development of teaching materials for understanding the relation between math function and video games,2010,コンピュータ＆エデュケーション,CIEC,29,0,72,75,JPN,"naid: 130004715717,ncid: AA11252984,ndlid: 10916287,doi: 10.14949/konpyutariyoukyouiku.29.72",2186-2168,"http://id.ndl.go.jp/bib/10916287,https://doi.org/10.14949/konpyutariyoukyouiku.29.72",関数とテレビゲームの関係を理解する教材の開発:―中学校における「社会とつながる数学」の試み―,"テレビゲーム,社会とつながる数学"
2021-10-29 01:22:38.615282,Article,長瀧 寛之,"Computer games for general education of computer science:—A practice of a course ""Introduction to computer science through video games""—",2011,コンピュータ＆エデュケーション,CIEC,31,0,16,21,JPN,"naid: 130004687115,ncid: AA11252984,ndlid: 023437532,doi: 10.14949/konpyutariyoukyouiku.31.16",2186-2168,"http://id.ndl.go.jp/bib/023437532,https://doi.org/10.14949/konpyutariyoukyouiku.31.16",情報教育におけるゲームの活用事例:―教養教育科目「テレビゲームからみる情報科学概論」の授業実践―,"情報教育,コンピュータゲーム,授業実践"
2021-10-29 01:29:04.729901,Article,藤本 徹,Toward Effective Approaches to Educational Use of Digital Games,2011,コンピュータ＆エデュケーション,CIEC,31,0,10,15,JPN,"naid: 130004687114,ncid: AA11252984,ndlid: 023437519,doi: 10.14949/konpyutariyoukyouiku.31.10",2186-2168,"http://id.ndl.go.jp/bib/023437519,https://doi.org/10.14949/konpyutariyoukyouiku.31.10",効果的なデジタルゲーム利用教育のための考え方,"教育ゲーム,ゲーム型学習,デジタルゲーム,シリアスゲーム,ゲーミフィケーション"
2021-10-29 01:41:30.010176,Article,石川 雅雄,Winning Ways for Mathematical Games and Mathematics Education,2011,コンピュータ＆エデュケーション,CIEC,31,0,22,27,JPN,"naid: 130004687116,ncid: AA11252984,ndlid: 023438061,doi: 10.14949/konpyutariyoukyouiku.31.22",2186-2168,"http://id.ndl.go.jp/bib/023438061,https://doi.org/10.14949/konpyutariyoukyouiku.31.22",石取りゲームの数理と数学教育,"数理ゲーム,必勝法,Wythoff のゲーム,佐藤-Welterのゲーム"
2021-10-29 01:41:31.500529,Article,加藤 映子,Language Education and Games,2011,コンピュータ＆エデュケーション,CIEC,31,0,28,33,JPN,"naid: 130004687117,doi: 10.14949/konpyutariyoukyouiku.31.28",2186-2168,https://doi.org/10.14949/konpyutariyoukyouiku.31.28,語学教育とゲーム,"語学教育,Pictionary,モチベーション"
2021-10-29 01:41:34.229003,Article,有田 隆也,Educational Uses of German-style Board Games for Imparting the Joy of Thinking and Developing a Zest of Living,2011,コンピュータ＆エデュケーション,CIEC,31,0,34,39,JPN,"naid: 130004687118,ncid: AA11252984,ndlid: 023438100,doi: 10.14949/konpyutariyoukyouiku.31.34",2186-2168,"http://id.ndl.go.jp/bib/023438100,https://doi.org/10.14949/konpyutariyoukyouiku.31.34",ドイツボードゲームの教育利用の試み:―考える喜びを知り生きる力に結びつける―,"ボードゲーム,社会的インタラクション"
2021-10-29 01:41:33.653507,Article,太郎良 留美,"Trial of finance education in a junior college:—Effect of finance education using ""the stock market game""—",2012,コンピュータ＆エデュケーション,CIEC,32,0,29,34,JPN,"naid: 130004687130,doi: 10.14949/konpyutariyoukyouiku.32.29",2186-2168,https://doi.org/10.14949/konpyutariyoukyouiku.32.29,短期大学における金融教育の試み:―『株式学習ゲーム』による金融教育の効果―,"短期大学の役割,金融教育,体験的学習,リテラシー教育"
2021-10-29 01:41:35.935260,Article,山内 真理,Boosting Student Engagement with Kahoot!,2017,コンピュータ＆エデュケーション,CIEC,43,0,18,23,JPN,"naid: 130007383229,ncid: AA11252984,ndlid: 028718176,doi: 10.14949/konpyutariyoukyouiku.43.18",2186-2168,"http://id.ndl.go.jp/bib/028718176,https://doi.org/10.14949/konpyutariyoukyouiku.43.18",Kahoot!による学生参加の促進:－ゲーム要素による学習態度の変容－,"Kahoot!,ゲーム型学習,積極的参加,習熟度の低い英語学習者"
2021-10-29 01:41:30.905233,Article,"福井 昌則,萩倉 丈,黒田 昌克,森山 潤,平嶋 宗",Promoting Motivation for Programming through the Workshop Type Programming Course for High School Students Using Mathematical Games and Puzzles,2018,コンピュータ＆エデュケーション,CIEC,45,0,48,54,JPN,"naid: 130007659175,ncid: AA11252984,ndlid: 029392967,doi: 10.14949/konpyutariyoukyouiku.45.48",2186-2168,"http://id.ndl.go.jp/bib/029392967,https://doi.org/10.14949/konpyutariyoukyouiku.45.48",数学的ゲーム・パズルを題材にプログラミングのモチベーションを高める高校生対象ワークショップ型プログラミング講習の実践と評価,"モチベーション,SIEM尺度,数学的ゲーム・パズル,プログラミング教育"
2021-10-29 01:41:32.909264,Article,"村上 睦美,塩田 真吾",An Analysis of the Usage of Social Games and the Consumer Life of High School Students,2019,コンピュータ＆エデュケーション,CIEC,47,0,61,64,JPN,"naid: 130007851243,ncid: AA11252984,ndlid: 030106673,doi: 10.14949/konpyutariyoukyouiku.47.61",2186-2168,"http://id.ndl.go.jp/bib/030106673,https://doi.org/10.14949/konpyutariyoukyouiku.47.61",高校生におけるソーシャルゲーム利用実態と消費生活実態の分析,"ソーシャルゲーム,高校生,課金,クレジットカード,消費者教育"
2021-10-29 01:41:32.434825,Article,"佐々木 雄司,萩倉 丈,福井 昌則,平嶋 宗","Development of Playground Game Application ""Deliver Box"" for the Promotion of Computational Thinking",2020,コンピュータ＆エデュケーション,CIEC,48,0,98,99,JPN,"naid: 130007952592,doi: 10.14949/konpyutariyoukyouiku.48.98",2186-2168,https://doi.org/10.14949/konpyutariyoukyouiku.48.98,Computational Thinking育成を指向したPlaygroundゲームアプリケーション「Deliver Box」の開発,"コンピュテーショナルシンキング,プログラミング的思考,Playground,iPad"
2021-10-29 01:41:37.147688,Article,鶴田 利郎,Continuous Teaching Practice of Special Activities Class to Think about Gaming Disorder and Internet Addiction in Junior High School,2020,コンピュータ＆エデュケーション,CIEC,49,0,58,61,JPN,"naid: 130008047403,ncid: AA11252984,ndlid: 030808610,doi: 10.14949/konpyutariyoukyouiku.49.58",2186-2168,"http://id.ndl.go.jp/bib/030808610,https://doi.org/10.14949/konpyutariyoukyouiku.49.58",中学校・特別活動におけるゲーム障害・インターネット依存を題材とした継続的な授業実践,"ゲーム障害,インターネット依存,特別活動,中学生"
2021-10-29 02:02:36.717112,Article,"藤本 徹,坂井 裕紀,池尻 良平,井原 慶子,中里 忍,福原 正大",The Development and Evaluation of Project-Based Learning Regarding Social Issues through Industry–Government–Academia Collaboration:-The Development of an Educational Curriculum to Address the Challenges of Educational Reform,2020,コンピュータ＆エデュケーション,CIEC,48,0,64,69,JPN,"naid: 130007952588,ncid: AA11252984,ndlid: 030480899,doi: 10.14949/konpyutariyoukyouiku.48.64",2186-2168,"http://id.ndl.go.jp/bib/030480899,https://doi.org/10.14949/konpyutariyoukyouiku.48.64",産官学連携による社会課題を題材としたプロジェクト学習授業の開発と評価:―教育改革事業の課題に対応した教育カリキュラムの開発―,"産官学連携,プロジェクト学習,ゲーミフィケーション,総合的な学習の時間"
2021-10-29 01:41:37.705863,Article,"福井 昌則,末續 鴻輝,安福 智明,黒田 昌克","Software Review : Development of Windows Application ""Combinatorial Game"" to Promote Inquiry Learning",2018,コンピュータ&エデュケーション,CIEC会誌設立準備委員会,45,,133,136,JPN,"naid: 40021751518,ncid: AA11252984,ndlid: 029393223",2186-2168,http://id.ndl.go.jp/bib/029393223,ソフトウェアレビュー 探究的な学習を促進するWindowsアプリケーション「組合せゲーム」の開発,"石取りゲーム,ノースコットのゲーム,数学的ゲーム・パズル,二進数,探究的な学習"
2021-10-29 02:01:59.339296,Article,松本 多恵,,2014,CIEC研究会報告集 = Selected papers from the CIEC academic meeting,CIEC研究委員会,5,,23,29,JPN,"naid: 40020336151,ndlid: 026052539",,http://id.ndl.go.jp/bib/026052539,ゲーミフィケーションを活用したe-Learningコンテンツの学習効果と動機付け,"WEBマンガ教材,ゲーミフィケーション,学習動機付け,e-learning"
2021-10-29 01:31:34.850370,Article,山崎 尊永,Designing a game machine sensoring with triaxial acceleration sensor and outputting video: Casestudy of making a color-display video game using V850 microcontroller board (1),2007-07,インタ-フェ-ス,CQ出版社,33,7,144,153,JPN,"naid: 40015492932,ncid: AN10546799,ndlid: 8831927",03879569,http://id.ndl.go.jp/bib/8831927,ビデオ出力や3軸加速度センサによるセンシングを行うゲーム機を設計 V850マイコン基板を用いたカラー表示ビデオ・ゲーム機の製作(前編),"V850,NTSC,コンポジット信号,ビデオ端子,カラー画像,3軸加速度センサ,ブロック崩し,RGBエンコーダ,CXA1645P,KXM52-1050"
2021-10-29 01:32:00.294094,Article,山崎 尊永,Designing a game machine sensoring with triaxial acceleration sensor and outputing video: Casestudy of making a color-display video game using V850 microcontroller board (2),2007-08,インタ-フェ-ス,CQ出版社,33,8,142,153,JPN,"naid: 40015533982,ncid: AN10546799,ndlid: 8869398",03879569,http://id.ndl.go.jp/bib/8869398,V850マイコン基板を用いたカラー表示ビデオ・ゲーム機の製作 3軸加速度センサによるセンシングやビデオ出力を行うゲーム機を設計(後編),"V850,CPU基板,NTSCコンポジット信号,ビデオ端子,カラー画像,3軸加速度センサ,ブロック崩し"
2021-10-29 01:34:29.963891,Article,大久保 慎也,,2016-11,インターフェース = Interface,CQ出版社,42,11,94,101,JPN,"naid: 40020967758,ncid: AN10546799,ndlid: 027670650",0387-9569,http://id.ndl.go.jp/bib/027670650,Appendix ラズパイ2vsラズパイ3…勝つのは意外と…? コンピュータ・ゲーム対決! 性能が低い方が番狂わせを起こせるか? (特集 ラズパイ実験・64ビット・Linux ARM直伝解説) -- (オレでもできるぜ! ラズパイ並列スパコンに挑戦),
2021-10-29 01:41:10.508185,Article,"久下 智弘,松下 宗一郎",F-042 Research on Interactivity in Computer Games,2007-08-22,情報科学技術フォーラム一般講演論文集,FIT(電子情報通信学会・情報処理学会)運営委員会,6,2,441,442,JPN,"naid: 110007688552,ncid: AA11740605",,http://id.nii.ac.jp/1001/00157098/,F-042 コンピュータゲームにおけるインタラクティブ性に関する研究(F分野:人工知能・ゲーム),
2021-10-29 01:37:56.992486,Article,"山根 信二,馬場 章",K-001 Interdisciplinary Framework approaching Security in Massively Multiplayer Online Games,2008-08-20,情報科学技術フォーラム講演論文集,FIT(電子情報通信学会・情報処理学会)運営委員会,7,3,513,515,JPN,"naid: 110007641808,ncid: AA1242354X",,http://id.nii.ac.jp/1001/00148730/,"K-001 オンラインゲームのセキュリティのための学際的フレームワーク(教育工学・福祉工学・マルチメディア応用,一般論文)",
2021-10-29 01:31:07.547272,Article,"安武 諒,山口 崇志,マッキン ケネス ジェームス,永井 保夫",F-032 Applying the Turing Test to AI in Action Video Games,2010-08-20,情報科学技術フォーラム講演論文集,FIT(電子情報通信学会・情報処理学会)運営委員会,9,2,431,432,JPN,"naid: 110008145757,ncid: AA1242354X",,http://id.nii.ac.jp/1001/00150022/,"F-032 対戦型ビデオゲーム用ゲームAIにおけるチューリングテストの有効性検証(F分野:人工知能・ゲーム,一般論文)",
2021-10-29 01:59:41.445576,Article,"北見 孝大,佐賀 亮介,松本 一教",F-051 Quantification of Hit Factor of Software Game by Regression and Structural Equation Modeling,2010-08-20,情報科学技術フォーラム講演論文集,FIT(電子情報通信学会・情報処理学会)運営委員会,9,2,507,512,JPN,"naid: 110008145775,ncid: AA1242354X",,http://id.nii.ac.jp/1001/00150040/,"F-051 重回帰分析とSEMによるゲームソフトのヒット要因の定量化(F分野:人工知能・ゲーム,一般論文)",
2021-10-29 01:35:03.164595,Article,"安武 諒,岩崎 信也,山口 崇志,マッキン ケネスジェームス,永井 保夫",F-044 Application and Evaluation of the Turing Test to Game AI,2011-09-07,情報科学技術フォーラム講演論文集,FIT(電子情報通信学会・情報処理学会)運営委員会,10,2,517,518,JPN,"naid: 110009623203,ncid: AA1242354X",,http://id.nii.ac.jp/1001/00150783/,"F-044 ゲームAIにおけるチューリングテストの適用評価(学習とゲーム,F分野:人工知能・ゲーム)",
2021-10-29 01:39:25.940910,Article,"小川 健太郎,ユリウス オネシムス,小林 洋",F-045 An Efficient Synchronization Mechanism for Distributed Online Games,2011-09-07,情報科学技術フォーラム講演論文集,FIT(電子情報通信学会・情報処理学会)運営委員会,10,2,519,520,JPN,"naid: 110009623204,ncid: AA1242354X",,http://id.nii.ac.jp/1001/00150784/,"F-045 分散オンラインゲームにおける同期方式の研究(学習とゲーム,F分野:人工知能・ゲーム)",
2021-10-29 01:56:22.241112,Article,"大竹 駿希,小林 貴之,飯塚 梨沙,山田 涼平,菅原 祐人,杉沼 浩司,古市 昌一",J-014 A Proposal of Co-operative Music Performing Serious Game for Music Therapy,2011-09-07,情報科学技術フォーラム講演論文集,FIT(電子情報通信学会・情報処理学会)運営委員会,10,3,559,560,JPN,"naid: 110009622922,ncid: AA1242354X",,http://id.nii.ac.jp/1001/00151008/,"J-014 音楽療法向け多人数協調型音楽演奏シリアスゲームシステムの提案(HCI(2),J分野:ヒューマンコミュニケーション&インタラクション)",
